< TK_FUNC,  >
< TK_ID, 0x557d63f254d0 >
< TK_LPAR,  >
< TK_RPAR,  >
< TK_TYPE, INT >
< TK_START_SCOPE,  >
< TK_TYPE, INT >
< TK_ID, 0x557d63f25720 >
< TK_ASSIGNMENT,  >
< TK_WHOLE, 9 >
< TK_SEMICOLON,  >
< TK_TYPE, INT >
< TK_ID, 0x557d63f25820 >
< TK_ASSIGNMENT,  >
< TK_ID, 0x557d63f25720 >
< TK_ARITH, PLUS >
< TK_WHOLE, 1 >
< TK_SEMICOLON,  >
< TK_TYPE, BOOL >
< TK_ID, 0x557d63f25920 >
< TK_ASSIGNMENT,  >
< TK_ID, 0x557d63f25720 >
< TK_LOGOP, AND >
< TK_ID, 0x557d63f25820 >
< TK_SEMICOLON,  >
< TK_SELECT,  >
< TK_ID, 0x557d63f25720 >
< TK_START_SCOPE,  >
< TK_WHEN,  >
< TK_WHOLE, 9 >
< TK_START_SCOPE,  >
< TK_ID, 0x557d63f25720 >
< TK_ASSIGNMENT,  >
< TK_WHOLE, 3 >
< TK_SEMICOLON,  >
< TK_END_SCOPE,  >
< TK_OTHERWISE,  >
< TK_START_SCOPE,  >
< TK_ID, 0x557d63f25720 >
< TK_ASSIGNMENT,  >
< TK_WHOLE, 5 >
< TK_SEMICOLON,  >
< TK_END_SCOPE,  >
< TK_END_SCOPE,  >
< TK_RETURN,  >
< TK_WHOLE, 0 >
< TK_SEMICOLON,  >
< TK_END_SCOPE,  >
< $,  >
